method,count
PDETMunicipalPlanAnalyzer._compute_robustness_value,40
BayesianMechanismInference._test_necessity,40
PerformanceAnalyzer.analyze_performance,40
BayesianCounterfactualAuditor.aggregate_risk_and_prioritize,40
TextMiningEngine.diagnose_critical_links,30
BayesianCounterfactualAuditor._test_effect_stability,30
PDETMunicipalPlanAnalyzer._compute_e_value,30
AdvancedDAGValidator.export_nodes,30
PDETMunicipalPlanAnalyzer._simulate_intervention,30
PDETMunicipalPlanAnalyzer._interpret_sensitivity,30
AdaptivePriorCalculator.sensitivity_analysis,30
BayesianCounterfactualAuditor.refutation_and_sanity_checks,30
PDETMunicipalPlanAnalyzer._interpret_risk,30
BayesianMechanismInference._calculate_coherence_factor,30
AdaptivePriorCalculator.generate_traceability_record,30
FinancialAuditor._calculate_sufficiency,30
PDETMunicipalPlanAnalyzer._score_indicators,30
OperationalizationAuditor._audit_systemic_risk,30
CausalExtractor.extract_causal_hierarchy,30
BayesianCounterfactualAuditor.construct_scm,30
BayesianMechanismInference._test_sufficiency,30
IndustrialPolicyProcessor._analyze_causal_dimensions,30
AdaptivePriorCalculator.validate_quality_criteria,30
CausalExtractor._assess_temporal_coherence,30
PDETMunicipalPlanAnalyzer.analyze_financial_feasibility,30
HierarchicalGenerativeModel._calculate_r_hat,30
HierarchicalGenerativeModel._calculate_ess,30
PDETMunicipalPlanAnalyzer.construct_causal_dag,20
TeoriaCambio.construir_grafo_causal,20
CausalExtractor._calculate_composite_likelihood,20
CausalExtractor._calculate_type_transition_prior,20
PolicyContradictionDetector._calculate_objective_alignment,20
PDETMunicipalPlanAnalyzer._refine_edge_probabilities,20
PDETMunicipalPlanAnalyzer._score_causal_coherence,20
AdaptivePriorCalculator.calculate_likelihood_adaptativo,20
SemanticAnalyzer.extract_semantic_cube,20
PDETMunicipalPlanAnalyzer._generate_recommendations,20
BeachEvidentialTest.apply_test_logic,20
IndustrialPolicyProcessor._calculate_quality_score,20
PolicyAnalysisEmbedder._compute_overall_confidence,20
PolicyAnalysisEmbedder.get_diagnostics,20
PDETMunicipalPlanAnalyzer._find_mediator_mentions,20
BayesianMechanismInference._aggregate_bayesian_confidence,20
BayesFactorTable.get_bayes_factor,20
TeoriaCambio.validacion_completa,20
CausalExtractor._calculate_semantic_distance,20
CausalExtractor._calculate_language_specificity,20
TeoriaCambio._validar_orden_causal,20
PDETMunicipalPlanAnalyzer.generate_counterfactuals,20
IndustrialGradeValidator.validate_engine_readiness,20
IndustrialGradeValidator._benchmark_operation,20
IndustrialGradeValidator.validate_connection_matrix,20
IndustrialGradeValidator.execute_suite,20
AdvancedDAGValidator._calculate_statistical_power,20
AdvancedDAGValidator._calculate_node_importance,20
AdvancedDAGValidator.calculate_acyclicity_pvalue,20
IndustrialPolicyProcessor._compute_evidence_confidence,20
TextMiningEngine._analyze_link_text,20
PolicyAnalysisEmbedder.process_document,20
ReportingEngine.generate_accountability_matrix,20
BayesianMechanismInference.infer_mechanisms,20
PolicyAnalysisEmbedder._generate_query_from_pdq,20
PDETMunicipalPlanAnalyzer._extract_entities_ner,20
OperationalizationAuditor.audit_evidence_traceability,20
FinancialAuditor._process_financial_table,20
CausalExtractor._parse_goal_context,20
FinancialAuditor._match_program_to_node,20
FinancialAuditor._match_goal_to_budget,20
PDETMunicipalPlanAnalyzer._classify_tables,20
PDETMunicipalPlanAnalyzer.identify_responsible_entities,20
PDETMunicipalPlanAnalyzer._extract_entities_syntax,20
PDETMunicipalPlanAnalyzer._consolidate_entities,20
FinancialAuditor._detect_allocation_gaps,20
CausalExtractor._extract_goals,20
SemanticProcessor.chunk_text,20
IndustrialPolicyProcessor._extract_metadata,20
PDETMunicipalPlanAnalyzer._deduplicate_tables,20
CausalInferenceSetup.identify_failure_points,20
FinancialAuditor._parse_amount,10
PDETMunicipalPlanAnalyzer._extract_financial_amounts,10
HierarchicalGenerativeModel.verify_conditional_independence,10
HierarchicalGenerativeModel._generate_independence_tests,10
AdvancedDAGValidator._perform_sensitivity_analysis_internal,10
CausalExtractor._assess_financial_consistency,10
BayesianCounterfactualAuditor._evaluate_counterfactual,10
PDETMunicipalPlanAnalyzer.estimate_causal_effects,10
TeoriaCambio._encontrar_caminos_completos,10
PDETMunicipalPlanAnalyzer._estimate_effect_bayesian,10
BayesianCounterfactualAuditor._evaluate_factual,10
PolicyContradictionDetector._identify_affected_sections,10
PolicyContradictionDetector._generate_resolution_recommendations,10
OperationalizationAuditor._generate_optimal_remediations,10
OperationalizationAuditor._get_remediation_text,10
PDETMunicipalPlanAnalyzer._score_pdet_alignment,10
CDAFFramework._validate_dnp_compliance,10
PDETMunicipalPlanAnalyzer._get_prior_effect,10
PerformanceAnalyzer._generate_recommendations,10
TemporalLogicVerifier._extract_resources,10
PolicyContradictionDetector._extract_quantitative_claims,10
PolicyContradictionDetector._statistical_significance_test,10
CausalExtractor._build_type_hierarchy,10
CausalExtractor._check_structural_violation,10
IndustrialPolicyProcessor._load_questionnaire,10
CausalExtractor._calculate_textual_proximity,10
PolicyContradictionDetector._parse_number,10
PolicyAnalysisEmbedder.compare_policy_interventions,10
PDETMunicipalPlanAnalyzer._extract_from_budget_table,10
TemporalLogicVerifier._parse_temporal_marker,10
BayesianMechanismInference._generate_necessity_remediation,10
TemporalLogicVerifier._classify_temporal_type,10
PDETMunicipalPlanAnalyzer._find_outcome_mentions,10
BayesianMechanismInference._infer_activity_sequence,10
CDAFFramework._generate_dnp_report,10
PDETMunicipalPlanAnalyzer._score_temporal_consistency,10
CausalExtractor._classify_goal_type,10
PDETMunicipalPlanAnalyzer._clean_dataframe,10
PDETMunicipalPlanAnalyzer._estimate_score_confidence,10
PDETMunicipalPlanAnalyzer._generate_scenario_narrative,10
IndustrialPolicyProcessor._extract_point_evidence,10
BayesianMechanismInference._quantify_uncertainty,10
AdaptivePriorCalculator._perturb_evidence,10
PDETMunicipalPlanAnalyzer._break_cycles,10
HierarchicalGenerativeModel.posterior_predictive_check,10
HierarchicalGenerativeModel._ablation_analysis,10
HierarchicalGenerativeModel._calculate_waic_difference,10
AdaptivePriorCalculator._add_ood_noise,10
ReportingEngine.generate_causal_diagram,10
ReportingEngine.generate_causal_model_json,10
PDETMunicipalPlanAnalyzer.export_causal_network,10
ConfigLoader.update_priors_from_feedback,10
ConfigLoader.check_uncertainty_reduction_criterion,10
ConfigLoader._save_prior_history,10
ConfigLoader._load_uncertainty_history,10
CDAFFramework._extract_feedback_from_audit,10
CausalInferenceSetup._get_dynamics_pattern,10
SemanticProcessor._detect_pdm_structure,10
IndustrialPolicyProcessor.export_results,10
PDETMunicipalPlanAnalyzer.generate_executive_report,10
PolicyTextProcessor.extract_contextual_window,10
PolicyAnalysisEmbedder._extract_numerical_values,10
TextMiningEngine._generate_interventions,10
PDETMunicipalPlanAnalyzer.calculate_quality_score,10
PDETMunicipalPlanAnalyzer._scenario_to_dict,10
ReportingEngine._calculate_quality_score,10
PolicyAnalysisEmbedder.evaluate_policy_numerical_consistency,10
IndustrialPolicyProcessor._match_patterns_in_sentences,10
PolicyAnalysisEmbedder._filter_by_pdq,10
PolicyAnalysisEmbedder._embed_texts,10
PolicyTextProcessor.compile_pattern,10
IndustrialPolicyProcessor.process,10
PDETMunicipalPlanAnalyzer._interpret_overall_quality,10
PolicyTextProcessor.normalize_unicode,10
PolicyTextProcessor.segment_into_sentences,10
IndustrialPolicyProcessor._compute_avg_confidence,10
PDETMunicipalPlanAnalyzer._quality_to_dict,10
IndustrialPolicyProcessor._construct_evidence_bundle,10
PDETMunicipalPlanAnalyzer._identify_causal_nodes,10
PerformanceAnalyzer._calculate_loss_functions,10
PDETMunicipalPlanAnalyzer._effect_to_dict,10
IndustrialPolicyProcessor._build_point_patterns,10
PolicyContradictionDetector._calculate_coherence_metrics,10
PDETMunicipalPlanAnalyzer._score_financial_component,10
PolicyContradictionDetector._calculate_graph_fragmentation,10
OperationalizationAuditor.audit_sequence_logic,10
PDETMunicipalPlanAnalyzer._analyze_funding_sources,10
PDETMunicipalPlanAnalyzer._identify_funding_source,10
PDETMunicipalPlanAnalyzer._extract_budget_for_pillar,10
CausalInferenceSetup.assign_probative_value,10
FinancialAuditor._perform_counterfactual_budget_check,10
AdvancedDAGValidator._calculate_bayesian_posterior,10
AdvancedDAGValidator._calculate_confidence_interval,10
AdaptivePriorCalculator._adjust_domain_weights,10
PDETMunicipalPlanAnalyzer._get_spanish_stopwords,10
BayesianMechanismInference._log_refactored_components,10
PDETMunicipalPlanAnalyzer._assess_financial_sustainability,10
TeoriaCambio._generar_sugerencias_internas,10
PDETMunicipalPlanAnalyzer._indicator_to_dict,10
PolicyContradictionDetector._detect_logical_incompatibilities,10
PDETMunicipalPlanAnalyzer._classify_entity_type,10
PDETMunicipalPlanAnalyzer._score_entity_specificity,10
CausalExtractor._extract_causal_links,10
BayesianMechanismInference._infer_single_mechanism,10
BayesianMechanismInference._infer_chain_capacity_vector,10
PDFProcessor.extract_tables,10
TemporalLogicVerifier.verify_temporal_consistency,10
TeoriaCambio._es_conexion_valida,10
TemporalLogicVerifier._check_deadline_constraints,10
BeachEvidentialTest.classify_test,10
CausalExtractor._initialize_prior,10
PDETMunicipalPlanAnalyzer.sensitivity_analysis,10
MechanismPartExtractor._calculate_ea_confidence,10
PDETMunicipalPlanAnalyzer._identify_causal_edges,10
MechanismPartExtractor._validate_entity_activity,10
MechanismPartExtractor._normalize_entity,10
BayesianCounterfactualAuditor._create_default_equations,10
MechanismPartExtractor.extract_entity_activity,10
PDETMunicipalPlanAnalyzer._bayesian_risk_inference,10
IndustrialPolicyProcessor._compile_pattern_registry,10
IndustrialPolicyProcessor._empty_result,10
PDETMunicipalPlanAnalyzer._identify_confounders,10
PDETMunicipalPlanAnalyzer._extract_from_responsibility_tables,10
AdvancedDAGValidator.add_node,10
AdvancedDAGValidator.add_edge,10
PDETMunicipalPlanAnalyzer._generate_optimal_remediations,10
AdvancedDAGValidator._initialize_rng,10
BayesianMechanismInference._detect_gaps,10
AdvancedDAGValidator._get_node_validator,10
AdvancedDAGValidator._create_empty_result,10
OperationalizationAuditor._audit_direct_evidence,10
IndustrialGradeValidator.run_performance_benchmarks,10
SemanticProcessor.embed_single,10
IndustrialGradeValidator._log_metric,10
PDETMunicipalPlanAnalyzer._is_likely_header,10
HierarchicalGenerativeModel._calculate_likelihood,10
BayesianNumericalAnalyzer.compare_policies,10
BayesianNumericalAnalyzer.evaluate_policy_metric,10
IndustrialGradeValidator.validate_causal_categories,10
TeoriaCambio._extraer_categorias,10
AdvancedDAGValidator._generate_subgraph,10
BayesianCounterfactualAuditor.counterfactual_query,10
AdvancedDAGValidator.get_graph_stats,10
SemanticAnalyzer._classify_cross_cutting_themes,10
PDETMunicipalPlanAnalyzer._score_responsibility_clarity,10
FinancialAuditor.trace_financial_allocation,10
BayesianConfidenceCalculator.calculate_posterior,10
PolicyAnalysisEmbedder.semantic_search,10
PolicyAnalysisEmbedder._apply_mmr,10
SemanticAnalyzer._empty_semantic_cube,10
SemanticAnalyzer._classify_policy_domain,10
SemanticAnalyzer._classify_value_chain_link,10
AdvancedDAGValidator._is_acyclic,10
SemanticAnalyzer._vectorize_segments,10
SemanticAnalyzer._process_segment,10
SemanticAnalyzer._calculate_semantic_complexity,10
PolicyContradictionDetector._calculate_numerical_divergence,10
PDETMunicipalPlanAnalyzer._entity_to_dict,10
PolicyAnalysisEmbedder.generate_pdq_report,10
PolicyContradictionDetector._detect_numerical_inconsistencies,10
SemanticProcessor._detect_table,10
